;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;
    Menores de un año;1139.0;1232.0;1164.0;1404.0;1505.0;1553.0;1609.0;1741.0;1704.0;1704.0;1765.0;1813.0;1733.0;1737.0;1657.0;1740.0;1700.0;1774.0;1856.0;2008.0;1996.0;2239.0;2581.0;2798.0;2846.0;3050.0;3179.0;3371.0;3789.0;4038.0;4071.0;4670.0;5285.0;5822.0;6644.0;7048.0;8591.0;9715.0;10520.0;11590.0;12641.0;
1 año;84.0;98.0;105.0;123.0;140.0;142.0;160.0;151.0;158.0;145.0;141.0;155.0;163.0;167.0;139.0;150.0;179.0;148.0;181.0;183.0;201.0;214.0;246.0;254.0;261.0;298.0;267.0;313.0;288.0;368.0;378.0;410.0;490.0;488.0;560.0;641.0;701.0;811.0;779.0;788.0;828.0;
2 años;63.0;69.0;80.0;81.0;76.0;89.0;82.0;73.0;90.0;87.0;100.0;92.0;140.0;89.0;93.0;93.0;87.0;112.0;112.0;156.0;129.0;134.0;154.0;152.0;162.0;179.0;195.0;199.0;202.0;211.0;246.0;311.0;315.0;320.0;414.0;455.0;466.0;530.0;511.0;456.0;495.0;
3 años;42.0;50.0;51.0;55.0;65.0;66.0;84.0;65.0;84.0;62.0;70.0;80.0;79.0;76.0;74.0;73.0;70.0;82.0;105.0;120.0;107.0;124.0;128.0;123.0;125.0;142.0;165.0;147.0;161.0;172.0;213.0;213.0;259.0;240.0;311.0;309.0;399.0;377.0;397.0;341.0;398.0;
4 años;32.0;47.0;54.0;49.0;48.0;60.0;70.0;56.0;53.0;63.0;69.0;52.0;60.0;64.0;64.0;67.0;75.0;79.0;85.0;97.0;99.0;107.0;98.0;111.0;105.0;133.0;161.0;134.0;140.0;173.0;173.0;186.0;235.0;194.0;255.0;246.0;303.0;298.0;297.0;280.0;334.0;
5 años;46.0;48.0;40.0;52.0;42.0;48.0;52.0;75.0;50.0;51.0;62.0;43.0;54.0;56.0;56.0;62.0;65.0;79.0;74.0;77.0;70.0;91.0;80.0;101.0;104.0;129.0;122.0;126.0;141.0;159.0;166.0;180.0;224.0;210.0;234.0;270.0;272.0;235.0;273.0;306.0;277.0;
6 años;35.0;38.0;47.0;35.0;56.0;39.0;40.0;44.0;51.0;52.0;43.0;35.0;58.0;61.0;47.0;65.0;69.0;61.0;82.0;88.0;76.0;88.0;90.0;90.0;103.0;125.0;114.0;126.0;137.0;165.0;170.0;163.0;173.0;194.0;198.0;299.0;230.0;232.0;232.0;250.0;262.0;
7 años;40.0;48.0;46.0;46.0;35.0;36.0;44.0;56.0;45.0;48.0;46.0;42.0;46.0;58.0;44.0;61.0;55.0;61.0;65.0;73.0;69.0;90.0;83.0;95.0;100.0;110.0;131.0;140.0;151.0;167.0;159.0;148.0;167.0;171.0;200.0;227.0;228.0;236.0;254.0;213.0;242.0;
8 años;43.0;33.0;40.0;40.0;34.0;27.0;31.0;41.0;45.0;57.0;38.0;53.0;47.0;54.0;55.0;59.0;45.0;71.0;39.0;66.0;76.0;88.0;101.0;81.0;92.0;106.0;95.0;115.0;118.0;130.0;170.0;175.0;184.0;185.0;177.0;193.0;225.0;254.0;215.0;211.0;250.0;
9 años;41.0;21.0;44.0;53.0;39.0;49.0;39.0;36.0;35.0;32.0;40.0;49.0;49.0;49.0;57.0;53.0;65.0;71.0;61.0;57.0;73.0;74.0;78.0;93.0;101.0;119.0;126.0;117.0;117.0;154.0;155.0;138.0;148.0;166.0;170.0;189.0;199.0;227.0;217.0;208.0;211.0;
10 años;36.0;31.0;29.0;30.0;44.0;45.0;41.0;32.0;48.0;47.0;38.0;59.0;54.0;51.0;75.0;66.0;78.0;56.0;66.0;59.0;82.0;77.0;92.0;90.0;126.0;104.0;132.0;134.0;109.0;131.0;157.0;144.0;173.0;157.0;173.0;218.0;226.0;198.0;197.0;201.0;218.0;
11 años;38.0;34.0;35.0;41.0;32.0;37.0;39.0;49.0;40.0;39.0;45.0;50.0;58.0;39.0;54.0;45.0;67.0;80.0;76.0;104.0;72.0;62.0;78.0;102.0;107.0;138.0;104.0;141.0;140.0;146.0;162.0;143.0;158.0;157.0;151.0;184.0;174.0;223.0;191.0;186.0;209.0;
12 años;40.0;36.0;48.0;42.0;35.0;55.0;51.0;38.0;48.0;60.0;54.0;55.0;73.0;58.0;65.0;60.0;60.0;65.0;68.0;90.0;89.0;99.0;95.0;120.0;124.0;147.0;139.0;127.0;144.0;156.0;162.0;163.0;171.0;171.0;177.0;202.0;187.0;223.0;207.0;220.0;203.0;
13 años;46.0;47.0;45.0;55.0;52.0;48.0;50.0;60.0;59.0;62.0;68.0;66.0;74.0;72.0;67.0;82.0;87.0;85.0;102.0;90.0;100.0;122.0;124.0;129.0;164.0;181.0;167.0;153.0;173.0;162.0;154.0;176.0;168.0;190.0;204.0;185.0;214.0;227.0;233.0;189.0;221.0;
14 años;43.0;63.0;36.0;45.0;74.0;42.0;47.0;69.0;78.0;54.0;76.0;78.0;82.0;100.0;85.0;112.0;83.0;113.0;110.0;135.0;146.0;143.0;168.0;165.0;192.0;213.0;212.0;178.0;179.0;198.0;225.0;222.0;199.0;176.0;266.0;214.0;287.0;258.0;204.0;236.0;253.0;
15 años;60.0;55.0;59.0;63.0;57.0;51.0;86.0;87.0;107.0;104.0;114.0;109.0;121.0;129.0;118.0;144.0;157.0;156.0;161.0;158.0;150.0;170.0;206.0;217.0;243.0;257.0;271.0;246.0;252.0;252.0;248.0;236.0;251.0;217.0;280.0;295.0;291.0;302.0;263.0;263.0;274.0;
16 años;62.0;58.0;60.0;72.0;64.0;84.0;89.0;124.0;124.0;132.0;141.0;141.0;167.0;155.0;162.0;187.0;196.0;213.0;235.0;227.0;268.0;232.0;250.0;294.0;343.0;352.0;364.0;317.0;342.0;332.0;298.0;298.0;281.0;301.0;331.0;330.0;340.0;319.0;338.0;357.0;331.0;
17 años;79.0;61.0;65.0;85.0;103.0;103.0;122.0;164.0;170.0;155.0;182.0;198.0;206.0;186.0;221.0;265.0;249.0;289.0;265.0;303.0;283.0;286.0;321.0;368.0;399.0;459.0;452.0;458.0;387.0;370.0;350.0;379.0;378.0;380.0;332.0;355.0;400.0;386.0;371.0;344.0;356.0;
18 años;85.0;86.0;99.0;85.0;125.0;123.0;173.0;167.0;190.0;198.0;214.0;236.0;249.0;230.0;249.0;281.0;314.0;342.0;323.0;325.0;334.0;324.0;396.0;430.0;518.0;522.0;568.0;490.0;585.0;457.0;403.0;431.0;439.0;399.0;404.0;376.0;449.0;501.0;423.0;437.0;372.0;
19 años;108.0;102.0;98.0;124.0;151.0;144.0;146.0;209.0;198.0;197.0;263.0;239.0;289.0;272.0;293.0;321.0;346.0;298.0;391.0;354.0;388.0;388.0;478.0;499.0;563.0;582.0;541.0;548.0;587.0;509.0;452.0;521.0;499.0;401.0;459.0;445.0;487.0;499.0;438.0;421.0;414.0;
20 años;101.0;125.0;113.0;130.0;147.0;160.0;161.0;200.0;229.0;231.0;255.0;266.0;334.0;340.0;347.0;376.0;365.0;374.0;368.0;371.0;408.0;444.0;486.0;583.0;641.0;620.0;627.0;628.0;555.0;473.0;474.0;486.0;419.0;416.0;462.0;415.0;484.0;484.0;429.0;427.0;445.0;
21 años;108.0;129.0;121.0;129.0;166.0;135.0;180.0;188.0;195.0;245.0;273.0;280.0;333.0;339.0;324.0;378.0;393.0;409.0;369.0;414.0;422.0;464.0;503.0;579.0;628.0;647.0;671.0;618.0;565.0;566.0;518.0;505.0;455.0;422.0;494.0;463.0;455.0;428.0;445.0;364.0;403.0;
22 años;108.0;138.0;125.0;146.0;152.0;170.0;177.0;200.0;238.0;265.0;277.0;304.0;342.0;407.0;378.0;388.0;399.0;420.0;398.0;473.0;446.0;458.0;503.0;597.0;721.0;671.0;674.0;609.0;623.0;545.0;515.0;464.0;511.0;449.0;414.0;439.0;461.0;463.0;401.0;399.0;418.0;
23 años;135.0;134.0;118.0;146.0;149.0;170.0;198.0;217.0;241.0;252.0;306.0;345.0;369.0;366.0;369.0;397.0;432.0;444.0;406.0;478.0;532.0;521.0;551.0;621.0;693.0;703.0;727.0;671.0;656.0;525.0;479.0;468.0;466.0;418.0;435.0;429.0;449.0;449.0;423.0;371.0;383.0;
24 años;128.0;133.0;130.0;149.0;165.0;179.0;205.0;285.0;275.0;277.0;319.0;329.0;368.0;364.0;376.0;457.0;415.0;439.0;402.0;506.0;536.0;519.0;575.0;677.0;702.0;706.0;661.0;647.0;627.0;536.0;538.0;478.0;462.0;420.0;403.0;443.0;403.0;453.0;416.0;411.0;401.0;
25 años;144.0;136.0;150.0;172.0;187.0;214.0;257.0;263.0;286.0;305.0;356.0;376.0;414.0;376.0;401.0;452.0;400.0;454.0;498.0;532.0;599.0;598.0;630.0;733.0;805.0;718.0;794.0;622.0;562.0;523.0;504.0;430.0;448.0;391.0;437.0;428.0;418.0;426.0;403.0;414.0;409.0;
26 años;140.0;142.0;160.0;187.0;176.0;183.0;274.0;261.0;326.0;349.0;339.0;371.0;388.0;424.0;406.0;462.0;429.0;462.0;434.0;575.0;614.0;646.0;756.0;761.0;787.0;738.0;689.0;644.0;593.0;525.0;487.0;436.0;440.0;409.0;335.0;399.0;444.0;413.0;420.0;391.0;411.0;
27 años;157.0;156.0;173.0;198.0;209.0;216.0;265.0;325.0;325.0;352.0;387.0;417.0;429.0;449.0;419.0;447.0;462.0;511.0;563.0;614.0;738.0;792.0;754.0;811.0;776.0;776.0;685.0;632.0;562.0;487.0;443.0;427.0;435.0;393.0;402.0;406.0;416.0;436.0;377.0;399.0;466.0;
28 años;174.0;162.0;168.0;174.0;225.0;242.0;304.0;340.0;364.0;351.0;355.0;463.0;418.0;445.0;477.0;497.0;473.0;541.0;560.0;721.0;791.0;787.0;835.0;832.0;821.0;736.0;721.0;662.0;496.0;491.0;425.0;381.0;416.0;388.0;415.0;393.0;409.0;441.0;437.0;466.0;395.0;
29 años;185.0;170.0;201.0;247.0;251.0;281.0;326.0;354.0;387.0;382.0;409.0;436.0;487.0;486.0;476.0;481.0;574.0;537.0;652.0;905.0;880.0;941.0;840.0;913.0;871.0;786.0;714.0;573.0;544.0;470.0;438.0;425.0;417.0;369.0;392.0;424.0;420.0;425.0;433.0;434.0;426.0;
30 años;169.0;214.0;232.0;261.0;309.0;307.0;324.0;377.0;420.0;439.0;418.0;448.0;493.0;515.0;529.0;533.0;549.0;595.0;709.0;936.0;932.0;967.0;888.0;914.0;872.0;762.0;642.0;640.0;551.0;440.0;438.0;411.0;413.0;389.0;437.0;445.0;497.0;505.0;441.0;486.0;493.0;
31 años;211.0;254.0;228.0;307.0;326.0;313.0;378.0;384.0;432.0;453.0;490.0;518.0;551.0;516.0;536.0;555.0;586.0;649.0;756.0;992.0;985.0;932.0;885.0;883.0;822.0;720.0;636.0;559.0;510.0;471.0;412.0;424.0;462.0;415.0;425.0;501.0;480.0;460.0;472.0;463.0;452.0;
