;1 de enero de  2015;1 de enero de  2014;1 de enero de  2013;1 de enero de  2012;1 de enero de  2011;1 de enero de  2010;1 de enero de  2009;1 de enero de  2008;1 de enero de  2007;1 de enero de  2006;1 de enero de  2005;1 de enero de  2004;1 de enero de  2003;1 de enero de  2002;1 de enero de  2001;1 de enero de  2000;1 de enero de  1999;1 de enero de  1998;1 de enero de  1997;1 de enero de  1996;1 de enero de  1995;1 de enero de  1994;1 de enero de  1993;1 de enero de  1992;1 de enero de  1991;1 de enero de  1990;1 de enero de  1989;1 de enero de  1988;1 de enero de  1987;1 de enero de  1986;1 de enero de  1985;1 de enero de  1984;1 de enero de  1983;1 de enero de  1982;1 de enero de  1981;1 de enero de  1980;1 de enero de  1979;1 de enero de  1978;1 de enero de  1977;1 de enero de  1976;1 de enero de  1975;
0 años;426459.032637;424880.561286;453294.393815;475602.77295;484003.635095;493973.866251;519524.915206;493917.526566;483683.207927;466983.638727;455203.853201;443075.961549;419433.457031;411693.176639;395790.090907;379648.588239;365367.217391;367200.586208;361026.285715;362924.804874;368535.297875;384355.132075;395546.610166;390956.046875;390638.999999;401254.999997;410145.105261;420692.36;432682.225807;451280.648645;469612.418612;480918.102036;511235.054547;549898.49457;569801.868853;592226.6438;625319.961595;644378.9255;665372.818441;659696.353717;679664.135902;
1 año;426471.202165;453015.540414;475616.577598;483549.043415;494926.833428;520784.877541;498193.841201;490146.186718;473622.060533;461564.525693;448586.970603;425499.05443;417814.840944;398109.980946;381203.17647;367441.434781;367272.172416;361470.571428;363677.609756;368961.595742;384692.264152;396256.220338;391798.703125;390591.734375;396614.999999;404169.210533;417582.72;429817.451612;449343.297298;469655.837211;480765.204082;511275.109092;547894.36789;569350.624479;589396.338491;621850.500105;641008.14735;662489.091392;659460.514068;675749.559178;658989.789484;
2 años;452559.834907;472651.808727;481415.039083;494158.018806;520875.478851;499803.319909;494118.168642;480227.771384;468035.677849;454642.229394;430776.601554;424036.622556;406441.422877;384738.161316;369738.652173;367586.75862;362150.857143;364683.414631;369645.893621;385343.396228;397347.830506;392994.359375;392577.015625;397716.390625;398517.31579;414876.08;427413.677418;447947.945941;470239.255813;481131.306124;511899.163636;546449.24121;568908.610899;589416.1803;619341.038615;638742.3692;660731.364324;660598.6744;673421.982462;658480.602559;659342.115241;
3 años;472390.749653;479519.870528;492831.341691;521120.953368;501252.51432;496163.972216;484408.292273;475054.12205;461357.826655;436170.708334;429194.850111;414086.905785;393825.242213;373696.74762;367937.344826;362863.142857;365718.219518;370382.191492;385997.528292;398494.440681;394258.015625;394623.296875;399941.859375;399805.921875;412231.44;425083.903226;446617.594597;470909.674421;481597.408167;512669.218185;545156.11453;568632.597319;590063.25154;619747.256554;636688.591065;659212.637275;661927.834732;671200.405748;658187.415628;659916.144707;655226.057269;
4 años;478811.820413;490544.098441;519608.541432;502162.653891;497390.412613;485963.438866;479172.069057;467904.060965;442187.156119;433996.019907;420083.632486;401915.452847;382556.710011;370317.784367;363582.428572;366787.02439;371145.489362;386703.660376;399656.050844;395539.671875;396699.578125;402204.328125;402494.828125;413533.5;422807.129033;445275.243241;471607.093028;482089.510204;513488.272729;543917.98785;568442.583739;590718.32278;620840.410384;636786.936807;657834.910216;663304.995083;669089.829021;657960.228702;660596.174165;655198.357057;645553.392279;
5 años;489530.747802;517577.723285;501018.386014;498183.080336;486888.787994;480714.341263;471465.530371;448726.666136;439707.505929;426306.693167;407838.187994;390405.305444;379573.771463;366191.790005;367860.829264;371925.787234;387423.792456;400831.661017;396842.328125;398796.859375;404476.796875;405203.734375;415627.5;424377.0;443968.891898;472314.511629;482612.612245;514351.327271;542725.86117;568258.570159;591426.39402;621950.564214;637385.507337;658518.251057;664801.15541;667042.252309;657806.04178;661304.203632;655262.65685;647502.440475;637182.318529;
6 años;516353.983513;499065.64126;497160.63629;487772.57611;481639.377519;472615.46036;452558.242642;446111.354122;433376.21644;414286.368143;396321.518944;387904.590737;375546.570058;370600.904731;372719.085099;388165.924528;402036.271187;398151.984375;400905.140625;406770.265625;407910.640625;417742.5;426724.0;445668.890625;473030.930235;483157.714283;515217.381815;541557.73449;568085.556579;592134.46526;623102.718044;637962.077867;659669.005487;665809.069733;664948.675589;657645.854846;662073.233099;655386.956631;649494.488674;639519.047147;641057.746258;
7 años;498243.124018;495565.081178;486932.083739;482425.258814;473198.918581;453929.925084;449676.948292;441275.362194;421495.547379;402373.339157;394121.648587;383478.627022;378948.219037;375154.520079;388902.056602;403224.881353;399473.640625;403013.421875;409054.734375;410647.546875;419868.5;429068.0;447953.359375;474259.71875;483689.816323;516087.436364;540396.60781;567941.542999;592865.5365;624287.871874;638577.648397;660831.759917;666752.934853;665129.336733;657525.667924;662871.26256;655535.256427;651501.536873;641915.775762;642693.949686;658028.568668;
8 años;495017.731948;485609.242482;481848.240356;473952.694526;454669.113016;450795.407136;446353.943707;429546.911191;409288.621973;400716.589138;389470.384065;386144.286231;383427.066113;391292.576467;404425.491524;400815.296875;405130.703125;411384.203125;413376.453125;421996.5;431410.0;450258.828125;475628.78125;485578.625;516966.490908;539244.48113;567808.529419;593633.60774;625469.025704;639203.218927;662037.514347;667700.799973;665762.845453;658001.472591;663668.292014;655670.556208;653503.585073;644304.50438;644353.153105;659720.445369;657883.313103;
9 años;485230.539875;480680.553881;473571.783179;455476.110615;451443.575209;448594.120511;435094.91948;416963.588706;408301.885198;396125.516525;391740.420943;390930.373262;399665.732952;407157.51102;402145.953125;407257.984375;413683.671875;416123.359375;424137.5;433758.0;452564.296875;476987.84375;487734.375;518949.421875;538112.35445;567695.515839;594418.67898;626661.179534;639853.789457;663211.268777;668660.665093;666401.354173;658598.475581;664304.84163;655838.855996;655547.63327;646669.232998;646013.356528;661437.322071;660835.775457;660842.18354;
